Comparison	gene	log2FC
IFNb_UP_DOWN	PNPT1	2.05144247716163
IFNb_UP_DOWN	CYP26B1	1.15194038996974
IFNb_UP_DOWN	RNU4ATAC	1.37959729381984
IFNb_UP_DOWN	KIF5C	1.44376029488273
IFNb_UP_DOWN	RND3	1.05698208317097
IFNb_UP_DOWN	RBM43	1.24079063294898
IFNb_UP_DOWN	NMI	2.2590034950379
IFNb_UP_DOWN	TNFAIP6	1.12145383862179
IFNb_UP_DOWN	IFIH1	4.94524885120307
IFNb_UP_DOWN	AC009948.5	1.22868536146372
IFNb_UP_DOWN	STAT1	2.70188983306477
IFNb_UP_DOWN	SPATS2L	1.02948164452503
IFNb_UP_DOWN	IGFBP5	2.0795079923032
IFNb_UP_DOWN	SP110	2.42677989255424
IFNb_UP_DOWN	SP100	1.55782443018197
IFNb_UP_DOWN	TRANK1	1.2489965456681
IFNb_UP_DOWN	MYD88	1.18523769911149
IFNb_UP_DOWN	SHISA5	1.06602474112976
IFNb_UP_DOWN	UBA7	1.5614520560108
IFNb_UP_DOWN	PARP9	3.38390775673211
IFNb_UP_DOWN	DTX3L	2.66642603188966
IFNb_UP_DOWN	PARP14	2.98478481330126
IFNb_UP_DOWN	H1FX	1.01248071038497
IFNb_UP_DOWN	PLSCR1	3.55328903941873
IFNb_UP_DOWN	CP	1.48103017504016
IFNb_UP_DOWN	TNFSF10	4.8114965610625
IFNb_UP_DOWN	RTP4	4.37996875140099
IFNb_UP_DOWN	LAP3	2.15629014908702
IFNb_UP_DOWN	PPM1K	2.59551400766808
IFNb_UP_DOWN	HERC6	6.18455048656279
IFNb_UP_DOWN	HERC5	5.97331351652367
IFNb_UP_DOWN	C4orf33	1.4081826630961
IFNb_UP_DOWN	EDNRA	1.08364958323087
IFNb_UP_DOWN	DDX60	3.27548887940339
IFNb_UP_DOWN	DDX60L	3.1433134939333
IFNb_UP_DOWN	RP11-326I11.3	1.5473749421082
IFNb_UP_DOWN	TLR3	3.06674520463121
IFNb_UP_DOWN	ANXA2R	1.28810955579794
IFNb_UP_DOWN	ITGA2	1.7031654768627
IFNb_UP_DOWN	PART1	1.43502281915365
IFNb_UP_DOWN	SCAMP1-AS1	2.077385783526
IFNb_UP_DOWN	CMYA5	1.37658924438834
IFNb_UP_DOWN	C5orf56	1.59282311703741
IFNb_UP_DOWN	JADE2	1.10393951478425
IFNb_UP_DOWN	CD74	2.25538059757956
IFNb_UP_DOWN	GMPR	1.63748449689575
IFNb_UP_DOWN	TRIM38	1.21782879092661
IFNb_UP_DOWN	HIST1H1C	1.03129900036726
IFNb_UP_DOWN	HIST1H2BC	1.39640139015656
IFNb_UP_DOWN	HIST1H2AC	2.18121904782195
IFNb_UP_DOWN	HIST1H2BD	2.02654415110827
IFNb_UP_DOWN	HIST1H4H	2.27979672829162
IFNb_UP_DOWN	BTN3A2	1.57198229626755
IFNb_UP_DOWN	BTN3A1	1.5446382886947
IFNb_UP_DOWN	BTN3A3	1.87062668413327
IFNb_UP_DOWN	HLA-F	3.5272123738198
IFNb_UP_DOWN	HLA-A	1.07483839473367
IFNb_UP_DOWN	HLA-E	1.80873543391516
IFNb_UP_DOWN	HLA-C	2.35598067102463
IFNb_UP_DOWN	HLA-B	3.0346805677298
IFNb_UP_DOWN	C2	1.42532608926141
IFNb_UP_DOWN	HLA-DRA	3.34232568475148
IFNb_UP_DOWN	HLA-DRB1	4.26961496459777
IFNb_UP_DOWN	TAP2	1.94777169402508
IFNb_UP_DOWN	PSMB8	1.69769496318707
IFNb_UP_DOWN	PSMB9	2.47387441270511
IFNb_UP_DOWN	TAP1	1.89466522681205
IFNb_UP_DOWN	HLA-DMA	1.57814524800963
